seq1	>ref-NC_005167.1 Golden shiner reovirus segment 2, complete sequence-table6-Spinareovirinae_1-HMM136-841_54.0-ORF34
seq20	>nrnt-MG600113 Wenzhou pacific spadenose shark reovirus 2 strain RGYQSMGReov42868 RNA-dependent RNA polymerase gene, partial cds.-table1-Spinareovirinae_1-HMM130-839_55.0-ORF49
seq21	>nrnt-MG600112 Wenzhou pacific spadenose shark reovirus 1 strain RGYQSMGReov43318 RNA-dependent RNA polymerase gene, complete cds.-table4-Spinareovirinae_1-HMM136-845_54.0-ORF46
seq22	>nrnt-KY418033 Muscovy duck reovirus strain MW9710 segment L2, complete sequence.-table6-Spinareovirinae_1-HMM133-834_54.0-ORF41
seq23	>nrnt-LC145609 Piscine orthoreovirus 2 genomic RNA, segment L3, complete sequence.-table6-Spinareovirinae_1-HMM139-848_54.0-ORF43
seq24	>nrnt-KT696549 Reptilian orthoreovirus strain CH1197/96 lambda B gene, complete cds.-table6-Spinareovirinae_1-HMM134-831_54.0-ORF43
seq25	>nrnt-KU974955 Largemouth bass reovirus strain Pine Lake core RNA-dependent RNA polymerase gene, complete cds.-table4-Spinareovirinae_1-HMM137-846_54.0-ORF39
seq26	>nrnt-HQ448931 White bream reovirus strain A-127/06 RNA-dependent RNA polymerase gene, partial cds.-table1-Spinareovirinae_1-HMM1-138_41.0-ORF12
seq27	>nrnt-AF450323 Golden ide reovirus segment 2 RNA-dependent RNA polymerase VP2 gene, partial cds.-table1-Spinareovirinae_1-HMM1-374_85.0-ORF15
seq28	>nrnt-AF450318 Striped bass reovirus segment 2 RNA-dependent RNA polymerase VP2 gene, partial cds.-table1-Spinareovirinae_1-HMM1-599_90.0-ORF28
seq29	>nrnt-KF896229 Jiangxi12-B14 orthoreovirus strain Jiangxi12-B14 virus segment L1 lambda 3 gene, partial cds.-table1-Spinareovirinae_1-HMM1-390_82.0-ORF12
seq30	>nrnt-AB914761 Avian orthoreovirus genomic RNA, segment L2, complete sequence, strain: Pycno-1.-table6-Spinareovirinae_1-HMM133-834_54.0-ORF50
seq31	>nrnt-KJ499467 Atlantic halibut reovirus isolate AHRV241013 RNA-dependent RNA polymerase gene, partial cds.-table1-Spinareovirinae_1-HMM136-842_58.0-ORF46
seq32	>nrnt-KF692090 Tvarminne avian virus segment L2, complete sequence.-table6-Spinareovirinae_1-HMM133-834_54.0-ORF40
seq33	>nrnt-JN967630 Reovirus GCRV104 segment 2, complete sequence.-table4-Spinareovirinae_1-HMM135-838_54.0-ORF40
seq34	>nrnt-HM222980 Avian orthoreovirus segment L2, complete sequence.-table6-Spinareovirinae_1-HMM133-834_54.0-ORF48
seq35	>nrnt-GQ896335 Grass carp reovirus strain HZ08 segment 2, complete sequence.-table6-Spinareovirinae_1-HMM137-842_55.0-ORF46
seq36	>nrnt-REO2LAM3P Reovirus serotype 2 minor core protein lambda-3 (L1) gene, complete cds.-table4-Spinareovirinae_1-HMM136-837_54.0-ORF41
