seq1	>ref-NC_003468.2 Andes virus segment L, complete genome-table6-Hantaviridae-HMM565-1304_33.0-ORF65
seq42	>nrnt-JX193697 Uluguru virus strain FMNH158302 RNA-dependent RNA polymerase gene, complete cds.-table1-Hantaviridae-HMM572-1312_34.0-ORF48
seq43	>nrnt-KC880349 Asikkala virus strain DE/Duerrbach/1912/2009/Sm segment L, complete sequence.-table1-Hantaviridae-HMM315-854_63.0-ORF22
seq44	>nrnt-KF974361 Amga virus strain AH301 segment L RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM560-1299_51.0-ORF40
seq45	>nrnt-KF958465 Camp Ripley virus strain MSB90845 RNA-dependent RNA polymerase gene, complete cds.-table6-Hantaviridae-HMM551-1292_34.0-ORF73
seq46	>nrnt-JX046485 Muju virus isolate 11-5 RNA-dependent RNA polymerase gene, complete cds.-table6-Hantaviridae-HMM565-1304_33.0-ORF65
seq47	>nrnt-GU997097 Black Creek Canal virus strain SPB 9408076 segment L, complete sequence.-table6-Hantaviridae-HMM565-1304_33.0-ORF70
seq48	>nrnt-HQ616595 Dahonggou Creek virus strain DGR 36708 RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM1-352_99.0-ORF9
seq49	>nrnt-JQ287716 Mouyassue virus RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM1-563_99.0-ORF16
seq50	>nrnt-JX912953 Xuan son virus strain XSV-VN1982B4 RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM501-1242_48.0-ORF44
seq51	>nrnt-JX465372 Lianghe virus strain Lianghe-As-217 L protein gene, partial cds.-table1-Hantaviridae-HMM6-488_98.0-ORF12
seq52	>nrnt-FJ858378 Catacamas virus strain HV C1280001 RNA-dependent RNA polymerase (RdRp) gene, complete cds.-table6-Hantaviridae-HMM565-1304_33.0-ORF70
seq53	>nrnt-JX443696 LANV-2 Hantavirus strain H731172/BRA259 RNA polymerase gene, complete cds.-table4-Hantaviridae-HMM554-1293_33.0-ORF71
seq54	>nrnt-JN542542 Hantaan virus XAAa10091712 nucleoprotein, glycoprotein, and putative RNA-dependent RNA polymerase genes, complete cds.-table4-Hantaviridae-HMM581-1320_33.0-ORF152
seq55	>nrnt-AB677488 Ussuri virus gene for RNA-dependent RNA polymerase, partial cds, isolate: Khekhtsir37L/2002.-table6-Hantaviridae-HMM564-1303_34.0-ORF75
seq56	>nrnt-FJ593501 Jemez Springs virus strain MSB144475 RNA-dependent RNA polymerase gene, partial cds.-table1-Hantaviridae-HMM424-1163_45.0-ORF48
seq57	>nrnt-FJ593497 Oxbow virus strain Ng1453 RNA-dependent RNA polymerase gene, partial cds.-table6-Hantaviridae-HMM566-1304_50.0-ORF48
seq58	>nrnt-HM015220 Rockport virus isolate MSB57411 segment L, complete sequence.-table6-Hantaviridae-HMM569-1306_33.0-ORF72
seq59	>nrnt-AB620108 Huitzilac virus gene for RNA-dependent RNA polymerase, complete cds, isolate: 200/2006.-table6-Hantaviridae-HMM565-1304_33.0-ORF76
seq60	>nrnt-EF397003 Choclo virus strain 588 segment L, complete sequence.-table6-Hantaviridae-HMM566-1305_33.0-ORF67
seq61	>nrnt-FJ809772 Rio Mamore virus isolate HTN-007 segment L, complete sequence.-table6-Hantaviridae-HMM565-1304_33.0-ORF77
seq62	>nrnt-FV537384 (REVERSE SENSE) Modified Microbial Nucleic Acid.-table6-Hantaviridae-HMM567-1303_33.0-ORF103
seq63	>nrnt-FV537305 (REVERSE SENSE) Modified Microbial Nucleic Acid.-table6-Hantaviridae-HMM568-1303_33.0-ORF99
seq64	>nrnt-DQ989237 Hantaan virus isolate Nc167 segment L, complete sequence.-table6-Hantaviridae-HMM565-1304_33.0-ORF71
seq65	>nrnt-EF646763 Prospect Hill virus segment L, complete sequence.-table6-Hantaviridae-HMM566-1304_33.0-ORF69
seq66	>tsa-GACW01004988.1 (REVERSE SENSE) TSA: Carabus granulatus contig04999 mRNA sequence-table4-Hantaviridae-HMM49-241_44.0-ORF34
seq67	>tsa-GDAR01013477.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_67373 transcribed RNA sequence-table1-Hantaviridae-HMM3-207_98.0-ORF18
seq68	>tsa-GAEM01001147.1 (REVERSE SENSE) TSA: Mytilus galloprovincialis NORM_MGC_c1165 mRNA sequence-table1-Hantaviridae-HMM15-211_82.0-ORF17
