seq1	>ref-NC_003773.1 Rice dwarf virus segment 1, complete sequence-table4-Sedoreovirinae_1-HMM335-934_40.0-ORF54
seq27	>nrnt-MF094119 Ninarumi virus VP1 gene, complete cds.-table6-Sedoreovirinae_1-HMM281-870_43.0-ORF48
seq28	>nrnt-MG600111 Wenling scaldfish reovirus strain XDXMC35344 RNA-dependent RNA polymerase gene, complete cds.-table6-Sedoreovirinae_1-HMM257-827_43.0-ORF45
seq29	>nrnt-KX695170 Bluetongue virus strain V196/XJ/2014 segment 1, complete sequence.-table4-Sedoreovirinae_1-HMM246-839_45.0-ORF55
seq30	>nrnt-KX234078 Bluetongue virus isolate BTV-X ITL2015 segment 1, complete sequence.-table4-Sedoreovirinae_1-HMM246-839_45.0-ORF49
seq31	>nrnt-KX907618 Morris orbivirus strain J13 VP1 gene, complete cds.-table6-Sedoreovirinae_1-HMM329-835_37.0-ORF37
seq32	>nrnt-KX884638 Banna virus strain QTM104536 RNA-dependent RNA polymerase gene, complete cds.-table6-Sedoreovirinae_1-HMM306-704_31.0-ORF39
seq33	>nrnt-LQ282552 Sequence 11 from Patent WO2016071683.-table4-Sedoreovirinae_1-HMM246-839_45.0-ORF50
seq34	>nrnt-LC158842 Muko virus genomic RNA, segment 1, complete sequence, strain: MUV-hay.-table6-Sedoreovirinae_1-HMM230-826_45.0-ORF36
seq35	>nrnt-AB186040 Ibaraki virus genomic RNA, segment L1, complete sequence.-table6-Sedoreovirinae_1-HMM247-841_45.0-ORF45
seq36	>nrnt-KU724110 Parry's Lagoon virus isolate K71551 segment 1 VP1 gene, complete cds.-table6-Sedoreovirinae_1-HMM232-827_46.0-ORF39
seq37	>nrnt-KP311320 Chenuda virus strain LEIV-7453Tur VP1 protein gene, partial cds.-table6-Sedoreovirinae_1-HMM248-845_46.0-ORF41
seq38	>nrnt-KR349187 Mangshi virus strain DH13M041 segment S1, complete sequence.-table6-Sedoreovirinae_1-HMM297-689_31.0-ORF51
seq39	>nrnt-KP638402 Eriocheir sinensis reovirus strain WX-2012 segment 1 VP1 gene, partial cds.-table6-Sedoreovirinae_1-HMM381-1005_44.0-ORF49
seq40	>nrnt-KJ746864 Vellore virus isolate Vellore VP1 gene, partial cds.-table1-Sedoreovirinae_1-HMM1-533_99.0-ORF11
seq41	>nrnt-KJ746862 Changuinola virus isolate CoAr2827 VP1 gene, partial cds.-table4-Sedoreovirinae_1-HMM3-449_96.0-ORF17
seq42	>nrnt-KJ950937 Mulberry orbivirus isolate MBOV/NYC-D7 VP1 gene, partial cds.-table1-Sedoreovirinae_1-HMM137-736_64.0-ORF20
seq43	>nrnt-KJ495755 Warrego virus strain AUS1969/01 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM247-845_45.0-ORF44
seq44	>nrnt-KF690601 Changuinola virus isolate CGLV/BE AR 385278 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM248-846_45.0-ORF47
seq45	>nrnt-KF690581 Changuinola virus isolate CGLV/BE AR 440541 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM248-846_45.0-ORF51
seq46	>nrnt-KF017495 Bluetongue virus 4 isolate BTV4/1047/10 VP1 protein gene, partial cds.-table1-Sedoreovirinae_1-HMM246-643_61.0-ORF19
seq47	>nrnt-KJ191550 Baku virus strain LEIV-46Azn VP1 protein gene, partial cds.-table1-Sedoreovirinae_1-HMM154-751_58.0-ORF37
seq48	>nrnt-KJ425428 Wad Medani virus strain LEIV-8066Tur VP1 protein gene, partial cds.-table1-Sedoreovirinae_1-HMM236-833_46.0-ORF50
seq49	>nrnt-KF981625 Okhotskiy virus strain LEIV-70C VP1 protein gene, partial cds.-table1-Sedoreovirinae_1-HMM225-822_46.0-ORF53
seq50	>nrnt-JQ610675 Orungo virus isolate UGMP 359 segment 1, complete sequence.-table4-Sedoreovirinae_1-HMM244-840_45.0-ORF45
seq51	>nrnt-JQ610665 Lebombo virus isolate SAAR 3896 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM246-840_45.0-ORF44
seq52	>nrnt-JQ610655 Changuinola virus isolate BE AR 490492 segment 1, complete sequence.-table4-Sedoreovirinae_1-HMM248-846_45.0-ORF45
seq53	>nrnt-KC669539 Heramatsu virus strain KY-663 VP1 gene, partial cds.-table1-Sedoreovirinae_1-HMM240-834_46.0-ORF38
seq54	>nrnt-JX947843 Banna-like virus strain Balaton/2010/HUN segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM297-689_31.0-ORF42
seq55	>nrnt-KC853042 Corriparta virus strain AUS1960/01 VP1 protein gene, complete cds.-table6-Sedoreovirinae_1-HMM235-830_45.0-ORF46
seq56	>nrnt-KC288130 Kemerovo virus segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM230-827_45.0-ORF40
seq57	>nrnt-JQ070386 Pata virus isolate CAF1968/01 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM248-840_45.0-ORF53
seq58	>nrnt-JQ070376 Eubenangee virus isolate AUS1963/01 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM248-845_45.0-ORF50
seq59	>nrnt-JQ070366 Tilligerry virus isolate AUS1978/03 segment 1, complete sequence.-table4-Sedoreovirinae_1-HMM246-843_45.0-ORF49
seq60	>nrnt-HQ414127 Scylla serrata reovirus SZ-2007 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM409-1033_43.0-ORF44
seq61	>nrnt-AY542965 Eriocheir sinensis reovirus isolate 905 segment 1, complete sequence.-table6-Sedoreovirinae_1-HMM704-830_10.0-ORF37
seq62	>nrnt-KX884675 Hubei tetragnatha maxillosa virus 9 strain QTM27093 RNA-dependent RNA polymerase gene, complete cds.-table4-Sedoreovirinae_1-HMM430-820_29.0-ORF43
seq63	>nrnt-KX884664 Hubei odonate virus 15 strain QTM133059 RNA-dependent RNA polymerase gene, complete cds.-table6-Sedoreovirinae_1-HMM340-823_36.0-ORF51
seq64	>nrnt-KX884628 Hubei lepidoptera virus 4 strain LCM63323 RNA-dependent RNA polymerase gene, complete cds.-table6-Sedoreovirinae_1-HMM318-823_37.0-ORF47
seq65	>nrnt-KX884607 Hubei reo-like virus 14 strain fly110803 RdRp gene, complete cds.-table6-Sedoreovirinae_1-HMM346-830_36.0-ORF46
seq66	>nrnt-MF094109 Big Cypress virus VP1 gene, complete cds.-table4-Sedoreovirinae_1-HMM231-832_45.0-ORF48
seq67	>nrnt-KF298273 Uncultured virus isolate acc_9.3 truncated putative RNA-dependent RNA polymerase-like protein gene, partial cds.-table6-Sedoreovirinae_1-HMM240-824_44.0-ORF44
seq68	>tsa-GARB01026632.1 TSA: Athetis lepigone T3_27609 transcribed RNA sequence-table1-Sedoreovirinae_1-HMM9-291_63.0-ORF13
seq69	>tsa-GEEA01028041.1 TSA: Bactrocera dorsalis comp68533_c0_seq1 transcribed RNA sequence-table6-Sedoreovirinae_1-HMM330-823_37.0-ORF46
seq70	>tsa-GEYS01007536.1 (REVERSE SENSE) TSA: Bactrocera dorsalis Unigene115_All transcribed RNA sequence-table6-Sedoreovirinae_1-HMM328-821_37.0-ORF89
seq71	>tsa-GEZK01185407.1 (REVERSE SENSE) TSA: Bemisia tabaci c166363_g2 transcribed RNA sequence-table6-Sedoreovirinae_1-HMM218-329_30.0-ORF52
seq72	>tsa-GDAR01010679.1 (REVERSE SENSE) TSA: Dendroctonus ponderosae Dpon-CLC-20141217_contig_27747 transcribed RNA sequence-table4-Sedoreovirinae_1-HMM62-308_46.0-ORF45
seq73	>tsa-GBPW01015714.1 TSA: Epeolus variegatus C95104_a_11_0_l_3069 transcribed RNA sequence-table1-Sedoreovirinae_1-HMM214-808_58.0-ORF25
seq74	>tsa-HAAX01020223.1 (REVERSE SENSE) TSA: Eriocheir sinensis, contig Unigene20317_A0A, transcribed RNA sequence-table1-Sedoreovirinae_1-HMM405-1029_57.0-ORF84
seq75	>tsa-HAAX01046049.1 TSA: Eriocheir sinensis, contig Unigene46342_A0A, transcribed RNA sequence-table1-Sedoreovirinae_1-HMM564-690_12.0-ORF24
seq76	>tsa-GBNZ01012862.1 (REVERSE SENSE) TSA: Heterodontonyx sp. AD-2014 C79130_a_22_0_l_4026 transcribed RNA sequence-table6-Sedoreovirinae_1-HMM346-823_35.0-ORF104
seq77	>tsa-GBOY01021047.1 (REVERSE SENSE) TSA: Mellinus arvensis s5948_L_19400_0_a_33_1_l_3436 transcribed RNA sequence-table6-Sedoreovirinae_1-HMM126-635_44.0-ORF79
seq78	>tsa-GFFJ01064750.1 TSA: Portunus trituberculatus comp103683_c0 transcribed RNA sequence-table6-Sedoreovirinae_1-HMM399-1023_43.0-ORF48
seq79	>tsa-GEFA01023424.1 TSA: Rhipicephalus microplus ATc24913 transcribed RNA sequence-table1-Sedoreovirinae_1-HMM2-170_98.0-ORF7
seq80	>tsa-GEFA01032821.1 TSA: Rhipicephalus microplus ATc36415 transcribed RNA sequence-table1-Sedoreovirinae_1-HMM11-149_84.0-ORF5
seq81	>tsa-GEMR01003375.1 (REVERSE SENSE) TSA: Rhipicephalus microplus athaller1121 transcribed RNA sequence-table6-Sedoreovirinae_1-HMM269-868_44.0-ORF108
seq82	>tsa-GFLP01426253.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0437261 transcribed RNA sequence-table1-Sedoreovirinae_1-HMM7-112_93.0-ORF7
seq83	>tsa-GETN01016785.1 TSA: Scirpophaga incertulas YSB_LS_c43535_g1_i1 transcribed RNA sequence-table1-Sedoreovirinae_1-HMM9-365_86.0-ORF15
seq84	>tsa-GBZU01019542.1 (REVERSE SENSE) TSA: Tityus serrulatus Locus_28422 transcribed RNA sequence-table4-Sedoreovirinae_1-HMM451-814_28.0-ORF101
seq85	>tsa-GEDL01063411.1 TSA: Triticum polonicum comp180892_c0 transcribed RNA sequence-table6-Sedoreovirinae_1-HMM26-139_17.0-ORF50
